Nu,solvent,sN,N,ε,q,MW,eHOMO,eUMO,NBO,MK,Polar,e+HOMO,e+LUMO,%VH,L,B1,B5,EPA,SNu,SInt,SH,μ,η,μ+
CX05,DMSO,0.6,16.23,46.7,0,101.17,-0.25327,0.03633,-0.882,-0.659,76.3053,-0.57094,-0.17592,32.7,4.98,1.94,4.88,-239.69,-13.38,-67.12,-134.71,-0.10847,0.2896,-0.37343
CX06,DMSO,0.61,15.85,46.7,0,148.22,-0.25199,0.04676,-0.862,-0.809,105.3943,-0.51331,-0.13047,36.9,5.03,2.29,6.84,-253.24,-11.27,-57.67,-134.71,-0.102615,0.29875,-0.32189
CX07,DMSO,0.68,21.07,46.7,0,177.27,-0.22519,0.00199,-0.752,-0.701,164.1507,-0.44765,-0.16721,38.4,5.18,2.13,7.9,-255.18,-13.68,-65.01,-134.71,-0.1116,0.22718,-0.30743
CX08,DMSO,0.65,18.42,46.7,0,197.25,-0.23096,-0.02497,-0.744,-0.668,168.3617,-0.46527,-0.17712,38.5,5.8,2.14,7.65,-253.08,-13.78,-64.92,-134.71,-0.127965,0.20599,-0.321195
CX09,DCM,0.83,9.35,8.93,0,118.14,-0.2505,-0.00679,-0.26,-0.806,98.6533,-0.46753,-0.22127,31.2,5.79,1.99,5.98,-220.8,-6.1,-56.5,-122.52,-0.128645,0.24371,-0.3444
CX10,DCM,0.82,8.87,8.93,0,197.04,-0.25514,-0.01442,-0.262,-0.994,122.9997,-0.43975,-0.22257,31.1,5.65,2.0,7.42,-217.77,-7.45,-58.86,-122.52,-0.13478,0.24072,-0.33116
CX11,DCM,0.8,7.66,8.93,0,143.15,-0.27064,-0.0364,-0.267,-0.912,121.1133,-0.47584,-0.2359,31.1,5.6,2.02,7.78,-210.13,-9.04,-65.33,-122.52,-0.15352,0.23424,-0.35587
CX12,DCM,0.83,7.17,8.93,0,152.58,-0.2764,-0.05778,-0.267,-0.873,122.086,-0.48934,-0.23871,31.1,6.14,2.03,7.61,-208.45,-8.36,-65.05,-122.52,-0.16709,0.21862,-0.364025
CX13,DCM,0.91,3.96,8.93,0,82.11,-0.29974,-0.01632,-0.364,-0.873,55.0903,-0.54736,-0.24355,30.6,3.88,1.98,4.59,-205.84,-4.6,-61.42,-122.52,-0.15803,0.28342,-0.39545
CX14,DMSO,0.42,25.94,46.68,0,118.14,-0.23332,-0.03737,-0.311,-0.807,107.7647,-0.53428,-0.22756,36.4,4.36,1.98,6.08,-243.98,-11.24,-65.56,-134.71,-0.135345,0.19595,-0.38092
CX15,DMSO,0.38,27.45,46.68,0,192.26,-0.21958,-0.02432,-0.287,-0.963,174.5197,-0.4318,-0.19387,48.3,5.4,2.06,6.8,-265.19,-9.85,-57.43,-134.71,-0.12195,0.19526,-0.312835
CX16,DMSO,0.37,26.71,46.68,0,165.19,-0.22959,-0.03064,-0.291,-1.033,140.3563,-0.5014,-0.20483,40.8,5.46,2.05,6.83,-256.67,-9.42,-58.16,-134.71,-0.130115,0.19895,-0.353115
CX17,DMSO,0.6,20.24,46.68,0,135.17,-0.23397,-0.03756,-0.278,-0.942,121.161,-0.48551,-0.20619,42.7,4.82,2.19,5.94,-252.37,-10.56,-60.76,-134.71,-0.135765,0.19641,-0.34585
CX18,DMSO,0.58,19.46,46.68,0,197.24,-0.23577,-0.04394,-0.261,-0.921,186.583,-0.42808,-0.19887,46.1,5.42,2.06,7.3,-255.3,-13.42,-59.14,-134.71,-0.139855,0.19183,-0.313475
CX19,DMSO,0.63,17.98,46.68,0,231.68,-0.24339,-0.05292,-0.252,-0.963,203.45,-0.42955,-0.20524,46.1,6.12,2.62,7.38,-251.68,-12.79,-59.92,-134.71,-0.148155,0.19047,-0.317395
CX20,DMSO,0.58,21.61,46.68,0,240.31,-0.2105,-0.01954,-0.295,-1.026,233.6703,-0.41584,-0.15259,45.9,6.29,2.27,8.33,-270.99,-18.29,-54.93,-134.71,-0.11502,0.19096,-0.284215
CX21,DMSO,0.57,20.08,46.68,0,247.3,-0.23112,-0.05812,-0.258,-0.811,257.5057,-0.42279,-0.19368,46.2,5.52,2.02,7.85,-260.41,-15.08,-56.53,-134.71,-0.14462,0.173,-0.308235
CX22,DMSO,0.5,19.38,46.68,0,247.3,-0.23177,-0.06119,-0.263,-0.841,238.585,-0.42332,-0.20579,48.2,7.54,2.45,7.38,-260.63,-14.37,-56.92,-134.71,-0.14648,0.17058,-0.314555
CX23,DMSO,0.47,21.29,46.7,0,92.16,-0.25965,0.05183,-1.126,-1.1,60.9663,-0.58043,-0.13907,30.6,4.64,1.7,4.92,-252.41,-8.37,-65.88,-134.71,-0.10391,0.31148,-0.35975
CX24,DCM,0.89,7.84,8.93,0,98.15,-0.2595,0.0512,-0.227,-0.118,75.0,-0.54966,-0.22757,24.2,5.22,1.7,6.42,-226.57,-6.13,-55.16,-122.52,-0.10415,0.3107,-0.388615
CX25,DCM,0.85,6.98,8.93,0,72.11,-0.27152,0.04629,-0.206,-0.043,55.3193,-0.57011,-0.24005,26.0,3.99,1.7,5.42,-220.56,-4.62,-57.12,-122.52,-0.112615,0.31781,-0.40508
EE01,DCM,1.0,5.21,8.93,0,170.33,-0.27102,0.05317,-0.271,-0.375,128.3623,-0.50656,-0.19455,36.5,6.2,2.04,6.96,-228.49,-6.68,-48.92,-122.52,-0.108925,0.32419,-0.350555
EE02,AN,0.89,6.43,37.5,0,156.3,-0.2694,0.05529,-0.326,-0.457,116.7253,-0.51113,-0.20015,33.8,5.28,1.95,7.23,-228.63,-4.94,-52.91,-134.02,-0.107055,0.32469,-0.35564
EE02,DCM,0.93,6.57,8.93,0,156.3,-0.2694,0.05529,-0.326,-0.457,116.7253,-0.51113,-0.20015,33.8,5.28,1.95,7.23,-228.63,-5.93,-49.77,-122.52,-0.107055,0.32469,-0.35564
EE03,DCM,0.91,5.41,8.93,0,130.26,-0.28604,0.05566,-0.485,-0.727,97.302,-0.51536,-0.20524,25.7,5.73,1.7,7.07,-225.88,-4.32,-50.39,-122.52,-0.11519,0.3417,-0.3603
EE04,DCM,0.87,10.38,8.93,0,232.47,-0.2656,0.04788,-0.344,-0.196,158.8417,-0.49416,-0.15419,43.0,5.88,2.38,7.03,-245.61,-5.47,-44.48,-122.52,-0.10886,0.31348,-0.324175
EE05,DCM,0.86,10.61,8.93,0,186.33,-0.25985,0.0549,-0.392,-0.5,121.5627,-0.4983,-0.16451,35.0,5.13,2.01,7.25,-241.26,-6.31,-47.86,-122.52,-0.102475,0.31475,-0.331405
EE06,AN,0.72,12.34,37.5,0,158.27,-0.25584,0.05639,-0.406,-0.487,110.02,-0.5039,-0.16745,32.2,5.51,1.91,7.31,-243.35,-4.67,-51.4,-134.02,-0.099725,0.31223,-0.335675
EE06,DCM,0.7,12.56,8.93,0,158.27,-0.25584,0.05639,-0.406,-0.487,110.02,-0.5039,-0.16745,32.2,5.51,1.91,7.31,-243.35,-5.38,-48.29,-122.52,-0.099725,0.31223,-0.335675
EE07,DCM,0.96,6.22,8.93,0,192.33,-0.27375,-0.00112,-0.462,-0.635,151.2023,-0.45882,-0.21837,33.2,5.88,1.83,7.37,-232.72,-8.28,-48.25,-122.52,-0.137435,0.27263,-0.338595
EE08,DCM,0.9,4.83,8.93,0,142.27,-0.28431,0.00352,-0.458,-0.743,110.0023,-0.50752,-0.23381,42.8,5.17,1.7,6.84,-226.08,-5.01,-48.52,-122.52,-0.140395,0.28783,-0.370665
EE09,DCM,0.81,8.23,8.93,0,208.33,-0.27439,0.01802,-0.522,-0.69,154.4633,-0.45104,-0.16573,25.0,6.45,1.7,8.21,-240.59,-8.17,-47.64,-122.52,-0.128185,0.29241,-0.308385
EE10,DCM,1.11,-2.94,8.93,0,184.23,-0.3272,0.02316,-0.448,-0.552,96.9553,-0.53129,-0.23837,34.2,5.78,1.7,6.62,-204.29,-3.85,-51.03,-122.52,-0.15202,0.35036,-0.38483
EE11,DCM,0.79,3.78,8.93,0,172.34,-0.2903,0.05061,-0.522,-0.785,131.7917,-0.50811,-0.19319,39.6,5.11,1.7,6.85,-228.95,-5.17,-48.43,-122.52,-0.119845,0.34091,-0.35065
EE12,DCM,0.98,9.0,8.93,0,174.32,-0.26489,0.05068,-0.121,0.305,126.464,-0.5039,-0.16745,32.2,5.3,2.05,7.34,-240.98,-5.15,-46.74,-122.52,-0.107105,0.31557,-0.335675
EE12,AN,0.88,9.11,37.5,0,174.32,-0.26489,0.05068,-0.121,0.305,126.464,-0.5039,-0.16745,32.2,5.3,2.05,7.34,-240.98,-4.23,-49.54,-134.02,-0.107105,0.31557,-0.335675
EE13,DCM,0.91,11.5,8.93,0,172.3,-0.24595,0.0555,-0.188,0.047,122.5543,-0.50215,-0.16381,40.1,5.5,2.73,7.29,-243.63,-5.4,-47.37,-122.52,-0.095225,0.30145,-0.33298
EE14,DCM,1.15,4.46,8.93,0,258.51,-0.26244,0.04743,0.245,0.076,187.38,-0.45032,-0.18962,44.1,6.54,3.66,7.09,-223.8,-7.05,-49.03,-122.52,-0.1075065,0.309873,-0.31997
EE15,DCM,0.9,4.37,8.93,0,70.09,-0.27304,0.06423,-0.326,-0.383,46.917,-0.60111,-0.25019,29.8,4.16,1.91,4.16,-211.9,-4.46,-59.24,-122.52,-0.104405,0.33727,-0.42565
EE16,DCM,0.9,3.92,8.93,0,72.11,-0.28557,0.05861,-0.499,-0.664,54.6857,-0.59887,-0.24169,21.7,5.02,1.7,6.53,-214.53,-4.44,-57.22,-122.52,-0.11348,0.34418,-0.42028
EE17,DCM,1.0,3.94,8.93,0,144.29,-0.26646,0.05379,-0.078,0.349,112.9943,-0.51842,-0.20896,36.4,6.4,2.89,6.99,-218.74,-5.03,-49.73,-122.52,-0.106335,0.32025,-0.36369
EE18,DCM,1.0,4.23,8.93,0,100.16,-0.26564,0.06867,-0.077,0.278,80.0407,-0.57196,-0.22743,36.3,5.96,2.88,5.56,-214.68,-5.22,-54.86,-122.52,-0.098485,0.33431,-0.399695
EE19,AN,0.82,7.32,37.5,0,204.34,-0.26499,0.00774,-0.256,-0.298,159.08,-0.45332,-0.21168,43.9,5.85,2.23,6.83,-235.13,-8.55,-50.38,-134.02,-0.128625,0.27273,-0.3325
En01,DCM,0.81,13.36,8.93,0,165.28,-0.24636,0.06322,-0.283,-0.275,132.6877,-0.50373,-0.17114,39.9,4.93,2.14,6.64,-247.18,-9.09,-52.47,-122.52,-0.09157,0.30958,-0.337435
En02,DCM,0.83,11.4,8.93,0,167.25,-0.25303,0.05957,-0.28,-0.261,124.354,-0.47974,-0.17991,40.1,4.66,2.05,6.66,-241.42,-9.57,-55.22,-122.52,-0.09673,0.3126,-0.329825
En03,DCM,0.86,14.91,8.93,0,151.25,-0.23038,0.05539,-0.311,-0.34,121.3747,-0.51227,-0.17003,39.7,4.74,2.07,6.75,-252.24,-8.7,-54.37,-122.52,-0.087495,0.28577,-0.34115
En04,DCM,0.8,12.51,8.93,0,180.3,-0.24827,0.06243,-0.282,-0.258,142.7403,-0.4193,-0.17233,40.0,5.25,2.06,7.77,-245.46,-10.54,-53.5,-122.52,-0.09292,0.3107,-0.295815
En05,DCM,0.82,14.02,8.93,0,151.25,-0.24365,0.06126,-0.298,-0.363,121.336,-0.51153,-0.17037,37.3,4.94,2.08,6.96,-251.69,-8.72,-52.72,-122.52,-0.091195,0.30491,-0.34095
En06,DCM,0.82,13.41,8.93,0,153.23,-0.25033,0.06151,-0.294,-0.353,113.008,-0.48279,-0.1791,37.4,5.04,1.97,6.46,-246.12,-9.17,-55.4,-122.52,-0.09441,0.31184,-0.330945
En07,DCM,0.86,15.91,8.93,0,149.24,-0.22966,0.05798,-0.327,-0.448,110.0343,-0.52874,-0.17254,37.6,4.31,1.97,6.86,-252.18,-8.33,-52.89,-122.52,-0.08584,0.28764,-0.35064
En08,DCM,0.8,12.03,8.93,0,182.27,-0.25467,0.06154,-0.291,-0.293,134.408,-0.41899,-0.17911,39.2,4.66,2.04,6.66,-242.11,-11.11,-56.0,-122.52,-0.096565,0.31621,-0.299
En09,DCM,0.8,12.06,8.93,0,127.19,-0.2541,0.06412,-0.285,-0.026,95.3263,-0.49327,-0.19803,35.3,4.4,2.07,6.68,-237.46,-7.99,-57.0,-122.52,-0.09499,0.31822,-0.34565
En10,DCM,0.87,10.76,8.93,0,189.26,-0.24286,0.0076,-0.318,-0.335,159.295,-0.42478,-0.19322,39.8,5.16,2.17,6.7,-234.55,-13.29,-59.38,-122.52,-0.11763,0.25046,-0.309
En10,AN,0.83,11.66,37.5,0,189.26,-0.24286,0.0076,-0.318,-0.335,159.295,-0.42478,-0.19322,39.8,5.16,2.17,6.7,-234.55,-12.59,-63.29,-134.02,-0.11763,0.25046,-0.309
En11,AN,0.73,13.84,37.5,0,187.29,-0.23626,0.01217,-0.326,-0.373,168.5427,-0.42093,-0.18449,39.2,5.32,2.21,6.83,-239.81,-11.66,-59.81,-134.02,-0.112045,0.24843,-0.30271
En12,DCM,0.93,12.26,8.93,0,173.26,-0.22278,0.01579,-0.352,-0.511,159.4293,-0.42808,-0.18367,34.8,5.38,2.06,6.91,-240.04,-12.93,-56.35,-122.52,-0.103495,0.23857,-0.305875
En12,AN,0.76,13.87,37.5,0,173.26,-0.22278,0.01579,-0.352,-0.511,159.4293,-0.42808,-0.18367,34.8,5.38,2.06,6.91,-240.04,-11.91,-59.46,-134.02,-0.103495,0.23857,-0.305875
En13,AN,0.83,8.78,37.5,0,265.36,-0.2465,-0.00835,-0.286,-0.368,220.0633,-0.41405,-0.17881,43.5,7.14,2.12,6.86,-239.72,-14.32,-60.23,-134.02,-0.127425,0.23815,-0.29643
En14,AN,0.86,9.94,37.5,0,263.38,-0.24096,-0.00472,-0.29,-0.334,229.2227,-0.4096,-0.1711,43.5,6.9,2.13,6.98,-244.46,-13.44,-57.44,-134.02,-0.12284,0.23624,-0.29035
En15,AN,0.82,11.66,37.5,0,249.36,-0.2287,0.0,-0.321,-0.481,218.3627,-0.40935,-0.17844,44.5,6.02,2.06,6.83,-246.7,-13.85,-57.8,-134.02,-0.11435,0.2287,-0.293895
En16,AN,0.84,11.99,37.5,0,179.38,-0.22127,0.00385,-0.309,-0.376,239.318,-0.37575,-0.1712,44.1,7.16,2.12,8.41,-248.65,-14.54,-57.04,-134.02,-0.10871,0.22512,-0.273475
En17,AN,0.84,10.63,37.5,0,274.37,-0.24128,-0.02483,-0.344,-0.481,246.1423,-0.42727,-0.18837,44.1,6.74,2.39,8.09,-240.54,-16.66,-64.18,-134.02,-0.133055,0.21645,-0.30782
En18,AN,0.82,10.42,37.5,0,294.35,-0.24436,-0.04378,-0.348,-0.453,248.6847,-0.44438,-0.18961,44.1,6.73,2.38,7.73,-239.51,-15.98,-63.55,-134.02,-0.14407,0.20058,-0.316995
En19,AN,0.8,11.6,37.5,0,187.29,-0.25945,0.00739,-0.48,-0.518,155.266,-0.44648,-0.18257,30.9,5.36,1.7,6.93,-247.64,-9.12,-54.72,-134.02,-0.12603,0.26684,-0.314525
En20,AN,0.8,10.3,37.5,0,189.26,-0.26607,0.00294,-0.476,-0.489,146.891,-0.45042,-0.1913,30.9,5.61,1.7,6.83,-242.81,-10.0,-57.97,-134.02,-0.131565,0.26901,-0.32086
En20,DCM,0.79,9.96,8.93,0,189.26,-0.26607,0.00294,-0.476,-0.489,146.891,-0.45042,-0.1913,30.9,5.61,1.7,6.83,-242.81,-10.92,-54.68,-122.52,-0.131565,0.26901,-0.32086
En21,AN,0.66,14.09,37.5,0,199.3,-0.24055,0.00793,-0.262,-0.305,164.23,-0.43624,-0.1876,38.5,5.8,2.11,6.8,-252.14,-10.46,-54.54,-134.02,-0.11631,0.24848,-0.31192
En22,AN,0.93,15.27,37.5,0,185.27,-0.23566,0.01569,-0.285,-0.261,152.9053,-0.44109,-0.18916,36.6,6.18,2.07,6.89,-253.7,-10.69,-54.55,-134.02,-0.109985,0.25135,-0.315125
En23,DCM,0.82,10.04,8.93,0,141.21,-0.2608,0.05296,-0.02,0.342,106.889,-0.49062,-0.19087,43.6,4.32,2.9,6.8,-240.07,-7.94,-55.96,-122.52,-0.10392,0.31376,-0.340745
En24,DCM,0.8,12.26,8.93,0,127.19,-0.24936,0.06089,-0.293,-0.073,54.6857,-0.49247,-0.19573,36.8,5.26,2.07,6.9,-241.63,-8.09,-56.89,-122.52,-0.094235,0.31025,-0.3441
En25,AN,0.87,7.06,37.5,0,125.17,-0.2662,0.04269,-0.238,-0.384,90.914,-0.53165,-0.22208,34.4,4.08,1.97,6.92,-224.56,-10.14,-62.6,-134.02,-0.111755,0.30889,-0.376865
En26,AN,0.79,5.64,37.5,0,139.2,-0.26924,0.0368,-0.233,-0.321,102.46,-0.51972,-0.21656,37.2,5.81,2.06,5.88,-224.07,-11.35,-61.4,-134.02,-0.11622,0.30604,-0.36814
En27,AN,0.87,4.91,37.5,0,187.24,-0.26278,-0.00508,-0.179,-0.218,146.586,-0.45638,-0.22837,41.9,5.18,2.06,6.47,-229.5,-13.89,-58.93,-134.02,-0.13393,0.2577,-0.342375
En28,AN,0.98,4.61,37.5,0,141.21,-0.28211,0.03315,-0.449,-0.643,105.7877,-0.52465,-0.21627,35.6,5.59,1.7,6.07,-227.71,-10.48,-59.69,-134.02,-0.12448,0.31526,-0.37046
En29,AN,1.0,5.44,37.5,0,223.28,-0.2778,-0.01958,-0.416,-0.547,181.7613,-0.44051,-0.22411,32.9,5.29,1.7,9.38,-230.22,-15.2,-58.15,-134.02,-0.14869,0.25822,-0.33231
En30,AN,0.97,5.73,37.5,0,161.2,-0.27781,-0.00466,-0.422,-0.565,124.9897,-0.47079,-0.23244,32.9,6.24,1.7,6.14,-227.34,-12.46,-59.92,-134.02,-0.141235,0.27315,-0.351615
En31,AN,1.0,5.6,37.5,0,195.65,-0.28209,-0.01426,-0.416,-0.576,140.5403,-0.4536,-0.23553,32.9,6.93,1.7,7.22,-225.17,-13.1,-61.51,-134.02,-0.148175,0.26783,-0.344565
En32,AN,0.91,6.57,37.5,0,175.23,-0.2738,-0.00199,-0.422,-0.614,140.0037,-0.45608,-0.22689,32.9,10.0,1.7,7.36,-230.4,-12.86,-58.49,-134.02,-0.137895,0.27181,-0.341485
N01,DCM,0.67,12.9,8.93,0,79.1,-0.32181,0.00228,-0.414,-0.618,58.95,-0.53449,-0.22482,26.6,5.8,1.77,3.15,-228.63,-6.95,-58.78,-122.52,-0.159765,0.32409,-0.379655
N01,H2O,0.73,11.05,80.1,0,79.1,-0.32181,0.00228,-0.414,-0.618,58.95,-0.53449,-0.22482,26.6,5.8,1.77,3.15,-228.63,-4.57,-59.69,-135.03,-0.159765,0.32409,-0.379655
N02,DCM,0.67,11.7,8.93,0,113.54,-0.33572,-0.00944,-0.415,-0.662,72.002,-0.52115,-0.2276,26.6,7.19,1.77,3.15,-225.27,-7.13,-58.97,-122.52,-0.17258,0.32628,-0.374375
N02,H2O,0.73,10.5,80.1,0,113.54,-0.33572,-0.00944,-0.415,-0.662,72.002,-0.52115,-0.2276,26.6,7.19,1.77,3.15,-225.27,-4.13,-59.66,-135.03,-0.17258,0.32628,-0.374375
N03,DCM,0.67,13.7,8.93,0,109.13,-0.30971,0.01455,-0.441,-0.665,76.659,-0.49849,-0.19422,26.6,8.05,1.9,3.17,-236.26,-7.85,-55.1,-122.52,-0.14758,0.32426,-0.346355
N03,H2O,0.68,11.44,80.1,0,109.13,-0.30971,0.01455,-0.441,-0.665,76.659,-0.49849,-0.19422,26.6,8.05,1.9,3.17,-236.26,-5.65,-55.45,-135.03,-0.14758,0.32426,-0.346355
N04,DCM,0.66,15.8,8.93,0,122.17,-0.2643,0.02622,-0.459,-0.754,95.487,-0.44126,-0.16954,26.6,8.08,2.06,3.22,-246.86,-10.13,-52.82,-122.52,-0.11904,0.29052,-0.3054
N04,DMF,0.67,14.9,36.7,0,122.17,-0.2643,0.02622,-0.459,-0.754,95.487,-0.44126,-0.16954,26.6,8.08,2.06,3.22,-246.86,-8.99,-55.42,-134.08,-0.11904,0.29052,-0.3054
N04,DMSO,0.67,14.8,46.7,0,122.17,-0.2643,0.02622,-0.459,-0.754,95.487,-0.44126,-0.16954,26.6,8.08,2.06,3.22,-246.86,-7.89,-54.55,-134.71,-0.11904,0.29052,-0.3054
N04,H2O,0.56,13.19,80.1,0,122.17,-0.2643,0.02622,-0.459,-0.754,95.487,-0.44126,-0.16954,26.6,8.08,2.06,3.22,-246.86,-7.02,-51.73,-135.03,-0.11904,0.29052,-0.3054
N04,AN,0.62,15.51,37.5,0,122.17,-0.2643,0.02622,-0.459,-0.754,95.487,-0.44126,-0.16954,26.6,8.08,2.06,3.22,-246.86,-9.92,-56.22,-134.02,-0.11904,0.29052,-0.3054
N04,THF,0.66,15.9,7.58,0,122.17,-0.2643,0.02622,-0.459,-0.754,95.487,-0.44126,-0.16954,26.6,8.08,2.06,3.22,-246.86,-8.55,-50.34,-119.28,-0.11904,0.29052,-0.3054
N05,DCM,0.67,15.9,8.93,0,148.21,-0.26003,0.02789,-0.462,-0.74,116.3893,-0.43301,-0.1627,26.6,9.27,2.43,3.23,-249.35,-10.63,-52.62,-122.52,-0.11607,0.28792,-0.297855
N06,AN,0.76,7.69,37.5,0,119.13,-0.30093,-0.01662,-0.216,-0.394,83.8313,-0.48297,-0.21399,26.3,6.3,1.58,5.27,-224.73,-10.71,-61.61,-134.02,-0.158775,0.28431,-0.34848
N07,AN,0.76,7.77,37.5,0,133.15,-0.29319,-0.01436,-0.222,-0.405,97.45,-0.47322,-0.20315,26.3,6.3,1.96,5.26,-229.74,-10.08,-57.6,-134.02,-0.153775,0.27883,-0.33818
N08,AN,0.82,10.73,37.5,0,132.17,-0.2784,0.00881,-0.45,-0.62,101.8017,-0.45555,-0.17258,28.2,6.26,1.98,5.39,-237.96,-13.7,-61.89,-134.02,-0.134795,0.28721,-0.314065
N09,DMSO,0.79,11.58,46.7,0,68.08,-0.28862,0.05369,-0.455,-0.478,44.211,-0.51688,-0.17032,25.4,5.02,1.77,3.12,-232.16,-11.25,-67.07,-134.71,-0.117465,0.34231,-0.3436
N09,AN,0.79,11.47,37.5,0,68.08,-0.28862,0.05369,-0.455,-0.478,44.211,-0.51688,-0.17032,25.4,5.02,1.77,3.12,-232.16,-12.17,-67.57,-134.02,-0.117465,0.34231,-0.3436
N09,H2O,0.57,9.63,80.1,0,68.08,-0.28862,0.05369,-0.455,-0.478,44.211,-0.51688,-0.17032,25.4,5.02,1.77,3.12,-232.16,-9.5,-63.12,-135.03,-0.117465,0.34231,-0.3436
N10,AN,0.73,11.9,37.5,0,82.11,-0.28366,0.05633,-0.459,-0.521,56.854,-0.5045,-0.15754,25.4,5.96,1.91,3.8,-236.78,-11.55,-63.34,-134.02,-0.113665,0.33999,-0.33102
N10,H2O,0.55,9.91,80.1,0,82.11,-0.28366,0.05633,-0.459,-0.521,56.854,-0.5045,-0.15754,25.4,5.96,1.91,3.8,-236.78,-7.79,-57.87,-135.03,-0.113665,0.33999,-0.33102
N11,AN,0.67,11.31,37.5,0,144.18,-0.28631,-0.00192,-0.449,-0.506,111.8063,-0.45005,-0.159,25.4,8.36,2.05,5.77,-237.45,-13.62,-61.96,-134.02,-0.144115,0.28439,-0.304525
N12,AN,0.79,11.43,37.5,0,140.26,-0.28157,0.04259,-0.458,-0.535,102.5283,-0.48501,-0.14063,25.3,7.5,2.38,5.45,-242.36,-10.82,-57.17,-134.02,-0.11949,0.32416,-0.31282
N13,AN,0.84,11.51,37.5,0,96.13,-0.26556,0.05384,-0.469,-0.676,69.6637,-0.47268,-0.14273,33.4,5.01,2.05,4.36,-240.92,-11.14,-61.24,-134.02,-0.10586,0.3194,-0.307705
N14,DCM,0.75,10.03,8.93,0,126.16,-0.29638,0.02769,-0.439,-0.617,84.634,-0.50166,-0.17763,30.8,7.32,2.13,4.49,-237.46,-11.46,-58.56,-122.52,-0.134345,0.32407,-0.339645
N15,DCM,0.77,12.92,8.93,0,84.12,-0.28057,0.05461,-0.471,-0.643,59.2903,-0.4993,-0.15154,30.6,5.01,1.97,4.37,-245.33,-9.5,-57.0,-122.52,-0.11298,0.33518,-0.32542
N16,DCM,0.77,9.81,8.93,0,85.11,-0.30978,0.06589,-0.477,-0.695,54.613,-0.54687,-0.17372,30.2,5.0,2.06,4.28,-231.99,-6.48,-56.94,-122.52,-0.121945,0.37567,-0.360295
N17,DCM,0.69,13.12,8.93,0,83.13,-0.31789,0.05182,-0.401,-0.643,63.1743,-0.55643,-0.19263,31.1,5.14,2.25,4.29,-236.82,-7.02,-56.97,-122.52,-0.133035,0.36971,-0.37453
N18,DCM,0.71,10.2,8.93,0,101.17,-0.28406,0.03809,-0.426,-0.5,69.6597,-0.4946,-0.19814,31.5,5.11,2.22,4.36,-231.69,-7.1,-56.04,-122.52,-0.122985,0.32215,-0.34637
N19,DCM,0.87,12.46,8.93,0,113.16,-0.27471,0.06265,-0.78,-0.888,80.5207,-0.46203,-0.10744,29.1,6.07,1.88,5.41,-251.84,-12.71,-56.16,-122.52,-0.10603,0.33736,-0.284735
N20,DCM,0.73,16.15,8.93,0,125.18,-0.26388,0.06147,-0.549,-0.811,87.4243,-0.46776,-0.10181,30.9,5.84,2.29,5.44,-255.82,-13.92,-56.2,-122.52,-0.101205,0.32535,-0.284785
N21,DCM,0.77,13.58,8.93,0,115.18,-0.28118,0.05741,-0.76,-0.849,84.283,-0.46618,-0.11673,31.1,5.96,1.72,5.44,-254.08,-10.31,-54.19,-122.52,-0.111885,0.33859,-0.291455
N22,AN,0.68,12.64,37.5,0,93.13,-0.25952,0.02702,-0.791,-0.78,74.522,-0.47704,-0.1504,25.0,3.92,1.69,5.95,-216.17,-8.94,-72.08,-134.02,-0.11625,0.28654,-0.31372
N22,H2O,0.73,12.99,80.1,0,93.13,-0.25952,0.02702,-0.791,-0.78,74.522,-0.47704,-0.1504,25.0,3.92,1.69,5.95,-216.17,-5.39,-68.37,-135.03,-0.11625,0.28654,-0.31372
N23,AN,0.6,12.92,37.5,0,127.57,-0.26193,0.01257,-0.789,-0.75,88.157,-0.4548,-0.15716,25.0,4.93,1.69,7.3,-212.38,-9.7,-75.01,-134.02,-0.12468,0.2745,-0.30598
N24,AN,0.69,13.19,37.5,0,107.16,-0.25194,0.02664,-0.792,-0.756,88.189,-0.45798,-0.14569,25.0,5.34,1.69,7.19,-218.98,-9.05,-70.58,-134.02,-0.11265,0.27858,-0.301835
N24,H2O,0.79,13.0,80.1,0,107.16,-0.25194,0.02664,-0.792,-0.756,88.189,-0.45798,-0.14569,25.0,5.34,1.69,7.19,-218.98,-4.9,-66.24,-135.03,-0.11265,0.27858,-0.301835
N25,AN,0.73,13.42,37.5,0,123.16,-0.24244,0.02382,-0.795,-0.746,92.7267,-0.42936,-0.1438,25.0,5.95,1.7,7.92,-221.14,-9.64,-70.3,-134.02,-0.10931,0.26626,-0.28658
N25,H2O,0.68,14.28,80.1,0,123.16,-0.24244,0.02382,-0.795,-0.746,92.7267,-0.42936,-0.1438,25.0,5.95,1.7,7.92,-221.14,-6.3,-66.31,-135.03,-0.10931,0.26626,-0.28658
N26,DMSO,0.64,15.7,46.7,0,59.11,-0.30215,0.06502,-0.82,-0.991,46.161,-0.56534,-0.15871,21.5,5.95,1.69,4.6,-225.94,-3.87,-71.37,-134.71,-0.118565,0.36717,-0.362025
N26,AN,0.63,15.11,37.5,0,59.11,-0.30215,0.06502,-0.82,-0.991,46.161,-0.56534,-0.15871,21.5,5.95,1.69,4.6,-225.94,-5.07,-72.04,-134.02,-0.118565,0.36717,-0.362025
N26,H2O,0.56,13.33,80.1,0,59.11,-0.30215,0.06502,-0.82,-0.991,46.161,-0.56534,-0.15871,21.5,5.95,1.69,4.6,-225.94,-3.85,-69.76,-135.03,-0.118565,0.36717,-0.362025
