Nu,solvent,sN,N,ε,q,MW,eHOMO,eUMO,NBO,MK,Polar,e+HOMO,e+LUMO,%VH,L,B1,B5,EPA,SNu,SInt,SH,μ,η,μ+
Ar27,DCM,1.11,3.61,8.93,0,82.1,-0.27393,0.05093,0.079,-0.141,57.3633,-0.56533,-0.2561,26.8,4.61,1.92,5.04,-208.79,-4.99,-56.51,-122.52,-0.1115,0.32486,-0.410715
Ar28,AN,0.98,2.9,37.5,0,208.06,-0.27123,0.02005,-0.088,0.012,148.1567,-0.47083,-0.22169,36.9,5.91,3.29,6.96,-215.26,-9.52,-55.03,-134.02,-0.12559,0.29128,-0.34626
Ar29,AN,0.86,6.38,37.5,0,209.05,-0.25263,0.0484,-0.014,-0.209,137.577,-0.4606,-0.20083,42.6,5.93,3.26,5.58,-229.52,-15.26,-58.26,-134.02,-0.102115,0.30103,-0.330715
Ar30,AN,1.26,1.84,37.5,0,237.02,-0.28001,0.01497,-0.047,-0.19,139.7333,-0.48597,-0.23157,42.6,6.09,3.33,6.14,-209.94,-22.62,-75.41,-134.02,-0.13252,0.29498,-0.35877
Ar31,DCM,1.0,7.22,8.93,0,156.26,-0.2575,0.05508,0.049,-0.332,107.363,-0.50113,-0.20678,27.6,5.91,1.98,7.57,-229.88,-5.2,-48.59,-122.52,-0.10121,0.31258,-0.353955
Ar32,DCM,1.1,-1.01,8.93,0,84.14,-0.29499,0.01842,-0.433,-0.244,58.325,-0.53752,-0.27881,29.2,4.26,2.03,4.1,-197.6,-5.02,-56.57,-122.52,-0.138285,0.31341,-0.408165
Ar33,DCM,1.0,-0.8,8.93,0,156.32,-0.28867,0.01216,-0.427,-0.185,120.132,-0.49956,-0.25168,29.1,6.63,2.02,7.14,-206.95,-5.78,-49.67,-122.52,-0.138255,0.30083,-0.37562
Ar34,DCM,0.99,1.35,8.93,0,98.16,-0.28212,0.02157,-0.43,-0.292,71.4673,-0.52423,-0.26273,29.2,5.25,2.02,5.28,-206.13,-5.77,-54.59,-122.52,-0.130275,0.30369,-0.39348
Ar35,AN,1.19,3.06,37.5,0,114.16,-0.2685,0.02415,-0.501,-0.415,75.949,-0.48767,-0.24394,31.3,4.26,2.01,5.55,-215.51,-5.4,-56.77,-134.02,-0.122175,0.29265,-0.365805
Ar36,AN,0.95,11.63,37.5,0,123.2,-0.24553,0.06021,-0.077,-0.392,98.7377,-0.47777,-0.2007,31.2,5.27,2.03,6.5,-231.81,-8.36,-57.63,-134.02,-0.09266,0.30574,-0.339235
Ar37,DCM,1.02,6.66,8.93,0,128.17,-0.24455,-0.05161,-0.264,-0.533,123.2493,-0.46788,-0.23697,31.7,5.02,2.03,6.55,-227.94,-9.96,-53.02,-122.52,-0.14808,0.19294,-0.352425
Ar38,AN,1.1,3.87,37.5,0,118.14,-0.27341,-0.00103,-0.302,-0.432,89.766,-0.47949,-0.22718,30.1,4.73,2.06,5.58,-211.55,-10.91,-65.29,-134.02,-0.13722,0.27238,-0.353335
C18,DMSO,0.71,18.29,46.7,1,136.13,-0.07092,0.14922,-0.251,-0.805,116.4223,-0.31826,-0.02389,35.4,4.49,2.19,6.12,-341.06,-50.8,-8.12,-134.71,0.03915,0.22014,-0.171075
C18,H2O,0.53,12.05,80.1,1,136.13,-0.07092,0.14922,-0.251,-0.805,116.4223,-0.31826,-0.02389,35.4,4.49,2.19,6.12,-341.06,-56.85,-4.93,-135.03,0.03915,0.22014,-0.17107
CA01,DMSO,0.8,15.59,46.7,1,127.08,-0.1037,0.20606,-0.604,-0.994,73.6953,-0.35927,-0.02065,33.0,5.08,2.15,4.79,-330.68,-52.49,-16.77,-134.71,0.05118,0.30976,-0.18996
CA02,DMSO,0.82,14.24,46.7,1,143.14,-0.11597,0.14982,-0.584,-0.724,93.9873,-0.30953,-0.0554,32.9,5.64,2.15,5.44,-323.61,-49.93,-15.99,-134.71,0.016925,0.26579,-0.182465
CA03,DMSO,0.72,17.46,46.7,1,171.19,-0.10135,0.19701,-0.585,-0.989,98.2497,-0.34942,-0.01223,33.5,5.27,2.16,5.27,-333.83,-49.93,-12.97,-134.71,0.04783,0.29836,-0.180825
CA04,DMSO,0.77,16.27,46.7,1,139.17,-0.0835,0.17308,-0.577,-0.963,106.4543,-0.32463,-0.00069,36.6,5.09,2.14,6.09,-341.77,-52.94,-12.07,-134.71,0.04479,0.25658,-0.16266
CA04,H2O,0.63,11.77,80.1,1,139.17,-0.0835,0.17308,-0.577,-0.963,106.4543,-0.32463,-0.00069,36.6,5.09,2.14,6.09,-341.77,-60.21,-9.15,-135.03,0.04479,0.25658,-0.16266
CA05,DMSO,0.86,13.91,46.7,1,143.12,-0.09578,0.18545,-0.693,-1.112,87.534,-0.36403,0.01358,33.4,6.23,2.09,4.51,-336.89,-52.63,-13.58,-134.71,0.044835,0.28123,-0.175225
CA05,H2O,0.66,12.06,80.1,1,143.12,-0.09578,0.18545,-0.693,-1.112,87.534,-0.36403,0.01358,33.4,6.23,2.09,4.51,-336.89,-58.99,-10.76,-135.03,0.044835,0.28123,-0.175225
